Area of usual residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,Other method of travel to work,F10,F11,F12,F13,F14
E02000001,E02000809,50,0,8,4,5,0,0,1,0,6,25,1
E02000001,E02000812,6,0,1,0,0,0,0,0,0,2,3,0
E02000001,E02000813,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000815,3,0,1,0,1,0,0,0,0,0,1,0
E02000001,E02000816,2,0,0,0,0,0,0,0,0,0,2,0
E02000001,E02000817,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000818,3,0,0,0,2,0,0,0,0,1,0,0
E02000001,E02000824,1,0,0,0,0,0,1,0,0,0,0,0
E02000001,E02000827,2,0,0,0,1,0,0,1,0,0,0,0
E02000001,E02000828,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000831,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000834,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000839,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000843,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000865,3,0,1,0,1,0,0,0,0,1,0,0
E02000001,E02000866,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000867,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000868,2,0,0,0,1,0,0,0,0,1,0,0
E02000001,E02000869,7,0,1,0,0,0,2,0,0,2,2,0
E02000001,E02000872,5,0,0,0,0,0,0,0,0,3,2,0
E02000001,E02000873,10,0,7,0,1,0,0,0,0,1,1,0
E02000001,E02000874,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000875,2,0,0,0,1,0,0,1,0,0,0,0
E02000001,E02000876,4,0,1,0,1,0,0,0,0,2,0,0
E02000001,E02000877,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000878,59,0,2,0,2,1,1,0,0,10,42,1
E02000001,E02000880,4,0,2,0,1,0,0,0,0,0,1,0
E02000001,E02000882,3,0,1,0,1,0,0,0,0,1,0,0
E02000001,E02000884,23,0,6,0,0,0,0,0,0,1,16,0
E02000001,E02000885,3,0,0,0,0,0,0,1,1,0,1,0
E02000001,E02000886,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000887,3,0,0,0,0,0,0,0,0,1,2,0
E02000001,E02000888,2,0,0,0,1,0,0,0,0,1,0,0
E02000001,E02000889,15,0,3,0,1,0,0,0,0,1,10,0
E02000001,E02000890,12,0,4,0,1,0,0,1,0,1,5,0
E02000001,E02000891,13,0,5,2,4,0,0,1,0,1,0,0
E02000001,E02000894,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000897,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000904,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000905,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000906,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000907,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000908,4,0,2,0,0,0,0,2,0,0,0,0
E02000001,E02000913,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000920,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000923,3,0,0,0,0,0,0,0,0,3,0,0
E02000001,E02000924,3,0,1,1,0,0,0,0,0,1,0,0
E02000001,E02000926,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000931,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000932,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000933,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000934,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000935,3,0,0,3,0,0,0,0,0,0,0,0
E02000001,E02000944,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000956,4,0,3,0,0,0,0,0,0,0,1,0
E02000001,E02000960,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000961,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000962,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000967,12,0,10,0,0,0,1,0,0,0,1,0
E02000001,E02000969,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000970,41,0,29,1,2,2,0,1,0,2,4,0
E02000001,E02000971,14,0,8,0,2,0,0,1,0,1,2,0
E02000001,E02000972,120,0,55,2,21,2,0,2,0,11,24,3
E02000001,E02000973,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000974,6,0,3,0,2,0,0,0,0,1,0,0
E02000001,E02000975,6,0,4,0,0,0,0,0,0,2,0,0
E02000001,E02000977,185,0,40,3,19,4,0,4,0,17,98,0
E02000001,E02000978,16,0,8,0,2,1,1,0,0,3,0,1
E02000001,E02000979,68,0,41,3,5,1,0,2,0,5,11,0
E02000001,E02000980,13,0,6,0,2,0,0,0,0,4,1,0
E02000001,E02000981,4,0,2,0,2,0,0,0,0,0,0,0
E02000001,E02000982,11,0,8,0,0,0,1,0,0,2,0,0
E02000001,E02000983,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02001063,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02001236,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02001988,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02001999,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02002011,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02002251,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02002658,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02002739,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02002790,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02002856,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02002996,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02003031,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02003223,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003275,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003312,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003328,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02003353,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02003358,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003399,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02003417,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003425,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003429,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02003430,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02003472,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003475,4,0,1,3,0,0,0,0,0,0,0,0
E02000001,E02003517,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003518,1,0,0,0,0,0,1,0,0,0,0,0
E02000001,E02003521,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003557,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003682,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02003710,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02003721,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02003725,4,0,0,2,0,0,0,1,0,0,1,0
E02000001,E02003726,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02003766,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02003941,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02004149,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004315,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004395,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004411,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004432,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02004443,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004446,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02004471,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004494,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004538,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02004544,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004545,2,0,0,0,0,0,0,0,0,0,2,0
E02000001,E02004547,2,0,0,1,0,0,0,1,0,0,0,0
E02000001,E02004556,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004620,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004681,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004789,2,0,0,0,0,0,0,0,0,0,2,0
E02000001,E02004798,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004836,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004845,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02004868,2,0,0,1,0,0,0,1,0,0,0,0
E02000001,E02004896,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004905,2,0,1,1,0,0,0,0,0,0,0,0
E02000001,E02004912,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02004926,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004934,3,0,0,3,0,0,0,0,0,0,0,0
E02000001,E02004935,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02004976,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02004989,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02005048,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02005056,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02005169,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02005271,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02005336,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02005396,1,0,0,0,0,0,0,0,0,0,0,1
E02000001,E02005491,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02005622,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02005670,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02005672,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02005942,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02005947,3,0,0,2,0,0,0,0,0,0,1,0
E02000001,E02006281,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02006320,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006321,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006358,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02006393,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006394,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006398,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006406,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006408,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006410,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006415,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006424,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006426,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006448,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006457,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02006514,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02006575,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02006579,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006633,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006651,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02006792,2,0,1,0,0,0,0,0,0,0,1,0
E02000001,E02006798,2,0,0,1,0,0,0,0,0,1,0,0
E02000001,E02006801,28,0,5,1,8,0,0,2,0,4,8,0
E02000001,E02006802,8,0,1,1,3,0,0,0,0,2,1,0
E02000001,E02006850,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02006854,129,0,100,1,3,3,0,6,0,10,5,1
E02000001,E02006867,1,0,0,0,0,0,0,0,1,0,0,0
E02000001,E02006875,2,0,0,0,0,0,0,1,0,0,1,0
E02000001,E02006887,2,0,0,1,1,0,0,0,0,0,0,0
E02000001,E02006904,4,0,0,0,3,0,0,0,0,0,1,0
E02000001,E02006907,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02006921,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02006927,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,N92000002,2,0,0,0,0,0,0,0,0,0,2,0
E02000001,OD0000001,701,701,0,0,0,0,0,0,0,0,0,0
E02000001,OD0000002,10,0,1,1,0,1,0,1,0,1,3,2
E02000001,OD0000003,257,0,81,36,12,7,3,25,3,15,57,18
E02000001,OD0000004,19,0,0,1,0,2,0,3,1,2,5,5
E02000001,S92000003,5,0,2,1,1,0,0,0,0,0,1,0
E02000001,W02000272,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,W02000423,1,0,0,0,0,0,0,1,0,0,0,0
E02000002,E02000001,74,0,37,22,6,0,1,7,0,0,1,0
E02000002,E02000002,73,0,1,2,11,0,0,14,2,1,42,0
E02000002,E02000003,53,0,1,0,11,0,0,25,2,0,14,0
E02000002,E02000004,5,0,0,0,2,0,0,3,0,0,0,0
E02000002,E02000005,7,0,0,0,1,0,0,6,0,0,0,0
E02000002,E02000007,33,0,0,0,6,0,0,21,0,2,4,0
E02000002,E02000008,10,0,0,0,2,0,0,5,1,2,0,0
E02000002,E02000009,2,0,0,0,1,0,0,1,0,0,0,0
E02000002,E02000010,7,0,0,0,2,0,0,5,0,0,0,0
E02000002,E02000011,17,0,0,1,2,0,0,11,0,1,2,0
E02000002,E02000012,4,0,1,0,0,0,0,3,0,0,0,0
E02000002,E02000013,10,0,1,0,3,0,0,4,0,0,2,0
E02000002,E02000014,4,0,0,1,0,0,0,3,0,0,0,0
E02000002,E02000015,3,0,0,0,1,0,0,1,0,0,1,0
